"module name","licenses","repository","licenseUrl","parents"
"d3-array@1.2.4","BSD-3-Clause","https://github.com/d3/d3-array","https://github.com/d3/d3-array/raw/master/LICENSE","d3:acap-sdk"
"d3-array@2.4.0","BSD-3-Clause","https://github.com/d3/d3-array","https://github.com/d3/d3-array/raw/master/LICENSE","acap-sdk"
"d3-axis@1.0.12","BSD-3-Clause","https://github.com/d3/d3-axis","https://github.com/d3/d3-axis/raw/master/LICENSE","acap-sdk"
"d3-brush@1.1.5","BSD-3-Clause","https://github.com/d3/d3-brush","https://github.com/d3/d3-brush/raw/master/LICENSE","acap-sdk"
"d3-chord@1.0.6","BSD-3-Clause","https://github.com/d3/d3-chord","https://github.com/d3/d3-chord/raw/master/LICENSE","acap-sdk"
"d3-collection@1.0.7","BSD-3-Clause","https://github.com/d3/d3-collection","https://github.com/d3/d3-collection/raw/master/LICENSE","acap-sdk"
"d3-color-legend@1.2.4","MIT","https://github.com/vasturiano/d3-color-legend","https://github.com/vasturiano/d3-color-legend/raw/master/LICENSE","acap-sdk"
"d3-color@1.4.0","BSD-3-Clause","https://github.com/d3/d3-color","https://github.com/d3/d3-color/raw/master/LICENSE","acap-sdk"
"d3-contour@1.3.2","BSD-3-Clause","https://github.com/d3/d3-contour","https://github.com/d3/d3-contour/raw/master/LICENSE","acap-sdk"
"d3-dispatch@1.0.6","BSD-3-Clause","https://github.com/d3/d3-dispatch","https://github.com/d3/d3-dispatch/raw/master/LICENSE","acap-sdk"
"d3-drag@1.2.5","BSD-3-Clause","https://github.com/d3/d3-drag","https://github.com/d3/d3-drag/raw/master/LICENSE","acap-sdk"
"d3-dsv@1.2.0","BSD-3-Clause","https://github.com/d3/d3-dsv","https://github.com/d3/d3-dsv/raw/master/LICENSE","acap-sdk"
"d3-ease@1.0.6","BSD-3-Clause","https://github.com/d3/d3-ease","https://github.com/d3/d3-ease/raw/master/LICENSE","acap-sdk"
"d3-fetch@1.1.2","BSD-3-Clause","https://github.com/d3/d3-fetch","https://github.com/d3/d3-fetch/raw/master/LICENSE","acap-sdk"
"d3-force@1.2.1","BSD-3-Clause","https://github.com/d3/d3-force","https://github.com/d3/d3-force/raw/master/LICENSE","acap-sdk"
"d3-format@1.4.3","BSD-3-Clause","https://github.com/d3/d3-format","https://github.com/d3/d3-format/raw/master/LICENSE","acap-sdk"
